timestamp,__name__,value
1648120716,lag,NaN
1648120731,lag,0
1648120746,lag,255
1648120761,lag,1940691
1648120776,lag,2559354
1648120791,lag,2559354
1648120806,lag,2485887
1648120821,lag,1895208
1648120836,lag,1278744
1648120851,lag,58107
1648120866,lag,55602
1648120881,lag,52905
1648120896,lag,51897
1648120911,lag,38835
1648120926,lag,32964
1648120941,lag,24876
1648120956,lag,34686
1648120971,lag,32133
1648120986,lag,30171
1648121001,lag,24453
1648121016,lag,25908
1648121031,lag,37764
1648121046,lag,43716
1648121061,lag,40578
1648121076,lag,39615
1648121091,lag,21879
1648121106,lag,21030
1648121121,lag,12270
1648121136,lag,13896
1648121151,lag,13743
1648121166,lag,18621
1648121181,lag,20067
1648121196,lag,19761
1648121211,lag,12378
1648121226,lag,12645
1648121241,lag,12981
1648121256,lag,17130
1648121271,lag,31647
1648121286,lag,31881
1648121301,lag,29979
1648121316,lag,28479
1648121331,lag,24150
1648121346,lag,26013
1648121361,lag,15228
1648121376,lag,16263
1648121391,lag,5346
1648121406,lag,14175
1648121421,lag,15795
1648121436,lag,12060
1648121451,lag,1761
1648121466,lag,3771216
1648121481,lag,4099112
1648121496,lag,4099112
1648121511,lag,4099112
1648121526,lag,3691936
1648121541,lag,6789360
1648121556,lag,7281216
1648121571,lag,7477380
1648121586,lag,7651848
1648121601,lag,7666296
1648121616,lag,7828200
1648121631,lag,7843836
1648121646,lag,8068128
1648121661,lag,8142420
1648121676,lag,8142420
1648121691,lag,NaN
1648121706,lag,10080816
1648121721,lag,10674616
1648121736,lag,10710080
1648121751,lag,9161264
1648121766,lag,9161264
1648121781,lag,6945400
1648121796,lag,6723288
1648121811,lag,4577240
1648121826,lag,3995904
1648121841,lag,3503016
1648121856,lag,2919744
1648121871,lag,2924968
1648121886,lag,2066808
1648121901,lag,2065168
1648121916,lag,969984
1648121931,lag,963912
1648121946,lag,77392
1648121961,lag,64312
1648121976,lag,63040
1648121991,lag,67328
1648122006,lag,58296
1648122021,lag,58296
1648122036,lag,57072
1648122051,lag,53840
1648122066,lag,50168
1648122081,lag,45376
1648122096,lag,52856
1648122111,lag,52856
1648122126,lag,52320
1648122141,lag,49264
1648122156,lag,54696
1648122171,lag,54352
1648122186,lag,54352
1648122201,lag,51168
1648122216,lag,60808
1648122231,lag,60808
1648122246,lag,60808
1648122261,lag,50944
1648122276,lag,45712
1648122291,lag,40768
1648122306,lag,34128
1648122321,lag,33120
1648122336,lag,41384
1648122351,lag,40240
1648122366,lag,41648
1648122381,lag,496332
1648122396,lag,496332
1648122411,lag,496332
1648122426,lag,496332
1648122441,lag,56088
1648122456,lag,56220
1648122471,lag,56100
1648122486,lag,56448
1648122501,lag,442848
1648122516,lag,581136
1648122531,lag,581136
1648122546,lag,581136
1648122561,lag,73224
1648122576,lag,73224
1648122591,lag,69744
1648122606,lag,80088
1648122621,lag,80088
1648122636,lag,80088
1648122651,lag,75336
1648122666,lag,75336
1648122681,lag,69072
1648122696,lag,69072
1648122711,lag,70680
1648122726,lag,70680
1648122741,lag,57336
1648122756,lag,63504
1648122771,lag,74160
1648122786,lag,74304
1648122801,lag,76704
1648122816,lag,76704
1648122831,lag,93048
1648122846,lag,93048
1648122861,lag,92232
1648122876,lag,92232
1648122891,lag,104016
1648122906,lag,104016
1648122921,lag,91128
1648122936,lag,91128
1648122951,lag,99576
1648122966,lag,99576
1648122981,lag,97536
1648122996,lag,103512
1648123011,lag,480216
1648123026,lag,1243644
1648123041,lag,1901004
1648123056,lag,2093124
1648123071,lag,1667136
1648123086,lag,1667136
1648123101,lag,1650600
1648123116,lag,1263708
1648123131,lag,1262520
1648123146,lag,656904
1648123161,lag,660228
1648123176,lag,88920
1648123191,lag,130368
1648123206,lag,139932
1648123221,lag,139932
1648123236,lag,122748
1648123251,lag,108168
1648123266,lag,84468
1648123281,lag,94956
1648123296,lag,103092
1648123311,lag,104568
1648123326,lag,104964
1648123341,lag,110112
1648123356,lag,158664
1648123371,lag,233364
1648123386,lag,267792
1648123401,lag,1072088
1648123416,lag,1688128
1648123431,lag,2054520
1648123446,lag,2076232
1648123461,lag,1905160
1648123476,lag,1905160
1648123491,lag,1380120
1648123506,lag,1380120
1648123521,lag,1066840
1648123536,lag,1079120
1648123551,lag,378744
1648123566,lag,385416
1648123581,lag,98872
1648123596,lag,114856
1648123611,lag,145672
1648123626,lag,148888
1648123641,lag,146136
1648123656,lag,146136
1648123671,lag,120016
1648123686,lag,123352
1648123701,lag,131944
1648123716,lag,132784
1648123731,lag,136632
1648123746,lag,136632
1648123761,lag,103368
1648123776,lag,105864
1648123791,lag,113136
1648123806,lag,129088
1648123821,lag,124856
1648123836,lag,161944
1648123851,lag,156112
1648123866,lag,156112
1648123881,lag,192776
1648123896,lag,273216
1648123911,lag,1209132
1648123926,lag,2968818
1648123941,lag,3625002
1648123956,lag,3850908
1648123971,lag,3267708
1648123986,lag,2844258
1648124001,lag,2517162
1648124016,lag,2275890
1648124031,lag,2349654
1648124046,lag,2392326
1648124061,lag,2377596
1648124076,lag,2582988
1648124091,lag,2724432
1648124106,lag,2562720
1648124121,lag,2632326
1648124136,lag,2058306
1648124151,lag,2058306
1648124166,lag,1896114
1648124181,lag,1633920
1648124196,lag,1472544
1648124211,lag,1483248
1648124226,lag,1205106
1648124241,lag,1205148
1648124256,lag,923706
1648124271,lag,933900
1648124286,lag,769356
1648124301,lag,740826
1648124316,lag,272754
1648124331,lag,274380
1648124346,lag,232254
1648124361,lag,218508
1648124376,lag,248112
1648124391,lag,249588
1648124406,lag,254754
1648124421,lag,217914
1648124436,lag,134982
1648124451,lag,129672
1648124466,lag,163440
1648124481,lag,230988
1648124496,lag,171498
1648124511,lag,88284
1648124526,lag,72612
1648124541,lag,82368
1648124556,lag,82578
1648124571,lag,99414
1648124586,lag,79218
1648124601,lag,65256
1648124616,lag,66840
1648124631,lag,66840
1648124646,lag,71040
1648124661,lag,316854
1648124676,lag,316854
1648124691,lag,489240
1648124706,lag,417522
1648124721,lag,414210
1648124736,lag,244818
1648124751,lag,83820
1648124766,lag,83808
1648124781,lag,92526
1648124796,lag,74892
1648124811,lag,77892
1648124826,lag,68742
1648124841,lag,61068
1648124856,lag,65580
1648124871,lag,64116
1648124886,lag,52080
1648124901,lag,55734
1648124916,lag,71784
1648124931,lag,64356
1648124946,lag,66810
1648124961,lag,68226
1648124976,lag,77004
1648124991,lag,65004
1648125006,lag,54306
1648125021,lag,56922
1648125036,lag,57510
1648125051,lag,62868
1648125066,lag,68148
1648125081,lag,64614
1648125096,lag,59814
1648125111,lag,75138
1648125126,lag,68760
1648125141,lag,60414
1648125156,lag,45828
1648125171,lag,45780
1648125186,lag,33150
1648125201,lag,1424968
1648125216,lag,1424968
1648125231,lag,1424968
1648125246,lag,1424968
1648125261,lag,76480
1648125276,lag,76480
1648125291,lag,89664
1648125306,lag,221752
1648125321,lag,217896
1648125336,lag,217896
1648125351,lag,68232
1648125366,lag,68232
1648125381,lag,65184
1648125396,lag,65184
1648125411,lag,63048
1648125426,lag,63840
1648125441,lag,61544
1648125456,lag,67736
1648125471,lag,67952
1648125486,lag,68392
1648125501,lag,62776
1648125516,lag,62776
1648125531,lag,56504
1648125546,lag,70824
1648125561,lag,70296
1648125576,lag,70296
1648125591,lag,51832
1648125606,lag,51832
1648125621,lag,57160
1648125636,lag,61056
1648125651,lag,61056
1648125666,lag,61952
1648125681,lag,57544
1648125696,lag,60128
1648125711,lag,48944
1648125726,lag,52192
1648125741,lag,51728
1648125756,lag,51728
1648125771,lag,51264
1648125786,lag,51264
1648125801,lag,30664
1648125816,lag,746160
1648125831,lag,746160
1648125846,lag,746160
1648125861,lag,746160
1648125876,lag,63024
1648125891,lag,63108
1648125906,lag,66120
1648125921,lag,66120
1648125936,lag,55932
1648125951,lag,55932
1648125966,lag,42492
1648125981,lag,46524
1648125996,lag,46500
1648126011,lag,46500
1648126026,lag,44568
1648126041,lag,46452
1648126056,lag,48252
1648126071,lag,48252
1648126086,lag,46464
1648126101,lag,49620
1648126116,lag,54864
1648126131,lag,55116
1648126146,lag,975144
1648126161,lag,975144
1648126176,lag,975144
1648126191,lag,975144
1648126206,lag,66504
1648126221,lag,66504
1648126236,lag,66072
1648126251,lag,66072
1648126266,lag,60816
1648126281,lag,77400
1648126296,lag,77400
1648126311,lag,77400
