timestamp,__name__,value
1648892567,lag,NaN
1648892582,lag,3905211
1648892597,lag,5375088
1648892612,lag,5707158
1648892627,lag,5862723
1648892642,lag,5862723
1648892657,lag,5584536
1648892672,lag,5472900
1648892687,lag,4797333
1648892702,lag,4521942
1648892717,lag,3795900
1648892732,lag,3479520
1648892747,lag,2956536
1648892762,lag,2573763
1648892777,lag,2006850
1648892792,lag,1799229
1648892807,lag,862830
1648892822,lag,752622
1648892837,lag,53232
1648892852,lag,52836
1648892867,lag,64527
1648892882,lag,70347
1648892897,lag,95391
1648892912,lag,88179
1648892927,lag,46977
1648892942,lag,41745
1648892957,lag,550590
1648892972,lag,2379408
1648892987,lag,2394964
1648893002,lag,2402616
1648893017,lag,2402616
1648893032,lag,2139908
1648893047,lag,2139908
1648893062,lag,142984
1648893077,lag,154896
1648893092,lag,150052
1648893107,lag,150052
1648893122,lag,80216
1648893137,lag,84640
1648893152,lag,84640
1648893167,lag,84640
1648893182,lag,52992
1648893197,lag,53828
1648893212,lag,51692
1648893227,lag,51692
1648893242,lag,46540
1648893257,lag,47692
1648893272,lag,47652
1648893287,lag,47652
1648893302,lag,224312
1648893317,lag,1397502
1648893332,lag,1397718
1648893347,lag,1397718
1648893362,lag,1397718
1648893377,lag,90156
1648893392,lag,90156
1648893407,lag,74796
1648893422,lag,74796
1648893437,lag,79356
1648893452,lag,84342
1648893467,lag,76050
1648893482,lag,76050
1648893497,lag,82098
1648893512,lag,82878
1648893527,lag,66066
1648893542,lag,66066
1648893557,lag,66606
1648893572,lag,70506
1648893587,lag,70506
1648893602,lag,70506
1648893617,lag,58320
1648893632,lag,245196
1648893647,lag,1021384
1648893662,lag,1021384
1648893677,lag,1021384
1648893692,lag,1021384
1648893707,lag,75008
1648893722,lag,77736
1648893737,lag,73584
1648893752,lag,80320
1648893767,lag,72024
1648893782,lag,72024
1648893797,lag,59312
1648893812,lag,82920
1648893827,lag,77552
1648893842,lag,79144
1648893857,lag,61184
1648893872,lag,63912
1648893887,lag,61120
1648893902,lag,65408
1648893917,lag,64600
1648893932,lag,64600
1648893947,lag,62872
1648893962,lag,63120
1648893977,lag,67368
1648893992,lag,72480
1648894007,lag,71832
1648894022,lag,74120
1648894037,lag,65752
1648894052,lag,75432
1648894067,lag,69408
1648894082,lag,70496
1648894097,lag,62344
1648894112,lag,704652
1648894127,lag,704652
1648894142,lag,704652
1648894157,lag,704652
1648894172,lag,57144
1648894187,lag,57144
1648894202,lag,60480
1648894217,lag,61536
1648894232,lag,57180
1648894247,lag,57180
1648894262,lag,60876
1648894277,lag,60936
1648894292,lag,63396
1648894307,lag,65784
1648894322,lag,61596
1648894337,lag,65616
1648894352,lag,70680
1648894367,lag,70680
1648894382,lag,62148
1648894397,lag,62148
1648894412,lag,63432
1648894427,lag,63432
1648894442,lag,57948
1648894457,lag,57972
1648894472,lag,62340
1648894487,lag,65616
1648894502,lag,67044
1648894517,lag,70176
1648894532,lag,74424
1648894547,lag,74424
1648894562,lag,64944
1648894577,lag,72900
1648894592,lag,64092
1648894607,lag,64092
1648894622,lag,54576
1648894637,lag,54576
1648894652,lag,52656
1648894667,lag,67536
1648894682,lag,72984
1648894697,lag,72984
1648894712,lag,57960
1648894727,lag,59676
1648894742,lag,68592
1648894757,lag,68592
1648894772,lag,71508
1648894787,lag,71508
1648894802,lag,67584
1648894817,lag,67584
1648894832,lag,66780
1648894847,lag,82884
1648894862,lag,82884
1648894877,lag,86304
1648894892,lag,94788
1648894907,lag,94788
1648894922,lag,76656
1648894937,lag,79164
1648894952,lag,75216
1648894967,lag,93372
1648894982,lag,102792
1648894997,lag,102792
1648895012,lag,102504
1648895027,lag,102504
1648895042,lag,91116
1648895057,lag,161760
1648895072,lag,184932
1648895087,lag,184932
1648895102,lag,140940
1648895117,lag,111336
1648895132,lag,136212
1648895147,lag,171072
1648895162,lag,221592
1648895177,lag,176384
1648895192,lag,700568
1648895207,lag,2436344
1648895222,lag,3320960
1648895237,lag,3856672
1648895252,lag,4320280
1648895267,lag,4323528
1648895282,lag,4323528
1648895297,lag,4197472
1648895312,lag,4050632
1648895327,lag,3755392
1648895342,lag,3481592
1648895357,lag,3127504
1648895372,lag,2663992
1648895387,lag,2244456
1648895402,lag,1658472
1648895417,lag,1631504
1648895432,lag,1514768
1648895447,lag,1533248
1648895462,lag,1206824
1648895477,lag,1176112
1648895492,lag,724128
1648895507,lag,732144
1648895522,lag,170064
1648895537,lag,170064
1648895552,lag,120128
1648895567,lag,253168
1648895582,lag,253168
1648895597,lag,256208
1648895612,lag,225280
1648895627,lag,1155462
1648895642,lag,2398062
1648895657,lag,4925712
1648895672,lag,5528490
1648895687,lag,5977380
1648895702,lag,6471462
1648895717,lag,6832476
1648895732,lag,7126614
1648895747,lag,7839246
1648895762,lag,8273280
1648895777,lag,5994640
1648895792,lag,9780220
1648895807,lag,13661548
1648895822,lag,14537412
1648895837,lag,15137092
1648895852,lag,15844396
1648895867,lag,16517896
1648895882,lag,16862048
1648895897,lag,17029292
1648895912,lag,17163588
1648895927,lag,11186931
1648895942,lag,19304205
1648895957,lag,21993461
1648895972,lag,22656642
1648895987,lag,22903268
1648896002,lag,22940306
1648896017,lag,22778745
1648896032,lag,22460133
1648896047,lag,21671676
1648896062,lag,21262444
1648896077,lag,21010228
1648896092,lag,21094471
1648896107,lag,21229778
1648896122,lag,21515452
1648896137,lag,21866086
1648896152,lag,22582455
1648896167,lag,5203991
1648896182,lag,24572825
1648896197,lag,27395241
1648896212,lag,28305998
1648896227,lag,28832396
1648896242,lag,28857681
1648896257,lag,28944295
1648896272,lag,28776646
1648896287,lag,29112840
1648896302,lag,29214407
1648896317,lag,29473631
1648896332,lag,29523216
1648896347,lag,21853831
1648896362,lag,NaN
1648896377,lag,32792235
1648896392,lag,34780556
1648896407,lag,35309231
1648896422,lag,35797854
1648896437,lag,35895094
1648896452,lag,35813194
1648896467,lag,36080958
1648896482,lag,35563162
1648896497,lag,35726380
1648896512,lag,35174238
1648896527,lag,35490064
1648896542,lag,35064661
1648896557,lag,35306742
1648896572,lag,35186070
1648896587,lag,35337898
1648896602,lag,35230146
1648896617,lag,35396144
1648896632,lag,35543992
1648896647,lag,35871983
1648896662,lag,35597090
1648896677,lag,35706388
1648896692,lag,35620750
1648896707,lag,35846194
1648896722,lag,35820130
1648896737,lag,36048891
1648896752,lag,36130553
1648896767,lag,36370657
1648896782,lag,36351690
1648896797,lag,36653928
1648896812,lag,36552738
1648896827,lag,36670452
1648896842,lag,36892927
1648896857,lag,37122445
1648896872,lag,37435635
1648896887,lag,37715467
1648896902,lag,37981020
1648896917,lag,38236107
1648896932,lag,38343072
1648896947,lag,38662310
