# operator_id1,operator_name1,total_number_of_operator_instances1,operator_id2,operator_name2,total_number_of_operator_instances2
Source:_BidsSource,Source:_BidsSource,8,Mapper,Mapper,8
Mapper,Mapper,8,LatencySink,LatencySink,8
