,index,timestamp,input_rate,datetime,seconds,minutes,latency,throughput,lag,CPU_load,taskmanager,backpressure,idle_time,busy_time
0,0,2022-12-16 04:58:13,2158261.2545454544,2022-12-16 04:58:13,0,0.0,30.3528,25948.733333333334,76958082.0,0.5710920240559991,15.0,11.583333333333334,0.5557888888888888,0.4424277777777778
1,1,2022-12-16 04:58:28,2178667.8,2022-12-16 04:58:28,15,4.0,18.3836,26152.300000000003,81853695.0,0.566573469387755,15.0,10.75,0.5556055555555556,0.4425777777777777
2,2,2022-12-16 04:58:43,2199011.0545454547,2022-12-16 04:58:43,30,8.0,37.737,26291.233333333334,87140553.0,0.5594263529401894,15.0,10.416666666666666,0.5556388888888889,0.4426388888888889
3,3,2022-12-16 04:58:58,2218352.0545454547,2022-12-16 04:58:58,45,12.0,35.241,26236.18333333333,92619883.0,0.5736523327061321,15.0,7.333333333333333,0.5563055555555554,0.4423444444444444
4,4,2022-12-16 04:59:13,2228870.763636363,2022-12-16 04:59:13,60,16.0,23.5524,25911.45,97915153.0,0.563217402860564,15.0,9.0,0.5600888888888889,0.4382
5,5,2022-12-16 04:59:28,2208796.309090909,2022-12-16 04:59:28,75,20.0,32.318,25557.583333333336,101485039.0,0.5704286799826312,15.0,8.333333333333334,0.5613166666666667,0.4368277777777777
6,6,2022-12-16 04:59:43,2188661.1818181816,2022-12-16 04:59:43,90,24.0,29.708,25526.18333333333,104934554.0,0.5693746362907852,15.0,8.333333333333332,0.5609611111111111,0.4370611111111111
7,7,2022-12-16 04:59:58,2167097.454545454,2022-12-16 04:59:58,105,28.0,23.0006,25273.266666666663,110488554.0,0.5617626584174443,15.0,10.666666666666666,0.5595500000000001,0.4384222222222221
8,8,2022-12-16 05:00:13,2151823.2363636363,2022-12-16 05:00:13,120,32.0,40.83467777777777,16848.84444444444,143107436.0,0.0180850860514173,0.0,10.5,0.5572422222222222,0.44116
9,9,2022-12-16 05:00:28,2142543.0,2022-12-16 05:00:28,135,36.0,58.66875555555555,8424.42222222222,175726318.0,0.0142642360762546,1.0,10.142857142857144,0.5557047619047619,0.4428428571428571
10,10,2022-12-16 05:00:43,2143425.909090909,2022-12-16 05:00:43,150,40.0,76.50283333333333,0.0,208345200.0,0.5932145952597787,13.0,12.0,0.297860119047619,0.7013749999999999
11,11,2022-12-16 05:00:58,2146889.4545454546,2022-12-16 05:00:58,165,44.0,74.388,5080.450000000001,220910180.0,0.7141960784313726,13.0,35.5,0.37405,0.6214142857142858
12,12,2022-12-16 05:01:13,2160419.090909091,2022-12-16 05:01:13,180,48.0,70.92616666666667,11440.883333333331,226415236.0,0.7686365007541477,13.0,23.875,0.3864739010989012,0.6081840659340658
13,13,2022-12-16 05:01:28,2162378.163636364,2022-12-16 05:01:28,195,52.0,93.15683333333332,19209.4,229536400.0,0.7829713423831071,13.0,20.63636363636364,0.3822566433566433,0.6130636363636363
14,14,2022-12-16 05:01:43,2162246.509090909,2022-12-16 05:01:43,210,56.0,72.21966666666667,27170.716666666667,230580300.0,0.7806153846153846,13.0,20.25,0.415051282051282,0.5801217948717948
15,15,2022-12-16 05:01:58,2155854.963636364,2022-12-16 05:01:58,225,60.0,90.88833333333334,29532.766666666663,233515196.0,0.7619999999999999,13.0,11.833333333333332,0.383275641025641,0.612326923076923
16,16,2022-12-16 05:02:13,2159124.327272727,2022-12-16 05:02:13,240,64.0,75.56683333333335,30806.300000000003,233942788.0,0.7860910518053376,13.0,14.333333333333334,0.3730384615384616,0.6214679487179487
