# operator_id1,operator_name1,total_number_of_operator_instances1,operator_id2,operator_name2,total_number_of_operator_instances2
Mapper,Mapper,1,LatencySink,LatencySink,1
Source:_BidsSource,Source:_BidsSource,1,Mapper,Mapper,1
bids_topic,bids_topic,1,Source:_BidsSource,Source:_BidsSource,1
