# operator_id,operator_instance_id,total_number_of_operator_instances,epoch_timestamp,true_processing_rate,true_output_rate,observed_processing_rate,observed_output_rate
auction_topic,0,1,1669309267850566100,1,1,1,1
person_topic,0,1,1669309267850566100,1,1,1,1
Filter,3,4,1669309267850566100,77356.71662697857,35866.101694915254,4183.70909090909,1939.7583333333332
Incrementaljoin,3,4,1669309267850566100,51275.16335722894,29259.52547103978,6123.10909090909,3494.0750000000003
Source:_auctionsSource,3,4,1669309267850566100,62504.2638777152,59479.51959544881,4120.072727272727,3920.691666666667
Sink,3,4,1669309267850566100,450080.8080808081,0.0,4050.7272727272725,0.0
Source:_personSource,3,4,1669309267850566100,78098.23271596212,72249.11871435976,4184.763636363637,3871.3486111111106
Filter,1,4,1669309267850566100,42945.75656901239,19031.450719822813,4308.890909090909,1909.4888888888888
Incrementaljoin,1,4,1669309267850566100,32524.200986485946,21082.634906631374,6144.363636363636,3982.8611111111104
Source:_auctionsSource,1,4,1669309267850566100,39646.655231560886,37048.29664570231,4202.545454545454,3927.1194444444445
Sink,1,4,1669309267850566100,434865.0717703349,0.0,4131.218181818182,0.0
Source:_personSource,1,4,1669309267850566100,45588.07118807119,40443.66549088772,4308.072727272727,3821.9263888888895
Filter,2,4,1669309267850566100,49409.91220617389,23651.90377293181,3965.1454545454544,1898.065277777778
Incrementaljoin,2,4,1669309267850566100,40316.295025728985,26646.235150244585,6410.290909090909,4236.751388888889
Source:_auctionsSource,2,4,1669309267850566100,47766.233766233774,44045.678408349646,4068.090909090909,3751.223611111111
Sink,2,4,1669309267850566100,305103.668261563,0.0,4347.727272727273,0.0
Source:_personSource,2,4,1669309267850566100,54909.090909090904,52489.44636678201,3967.1818181818176,3792.3624999999997
Filter,0,4,1669309267850566100,53649.438202247184,25538.25842696629,3978.9999999999995,1894.0875
Incrementaljoin,0,4,1669309267850566100,38954.805194805194,23885.064102564105,5908.1454545454535,3622.5680555555555
Source:_auctionsSource,0,4,1669309267850566100,50970.45214553133,46833.597324885595,4022.4181818181814,3695.9513888888887
Sink,0,4,1669309267850566100,465677.13498622586,0.0,3841.8363636363633,0.0
Source:_personSource,0,4,1669309267850566100,57706.32076508739,54992.86577992745,3976.9272727272723,3789.925
