# operator_id,operator_instance_id,total_number_of_operator_instances,epoch_timestamp,true_processing_rate,true_output_rate,observed_processing_rate,observed_output_rate
bids_topic,0,1,1669197385197464300,1,1,1,1
Source:_BidsSource,1,4,1669197385197464300,366136.33660690155,361686.9012223324,30785.963636363635,30411.840277777777
Mapper,1,4,1669197385197464300,435339.36535162944,430311.39937106916,30763.981818181815,30408.672222222223
Mapper,3,4,1669197385197464300,441197.9029559397,448113.5991820041,29964.690909090907,30434.381944444445
Mapper,2,4,1669197385197464300,453143.8999662047,449322.8004956629,30473.92727272727,30216.958333333332
LatencySink,2,4,1669197385197464300,3033459.3538692705,0.0,30587.381818181817,0.0
Mapper,0,4,1669197385197464300,393009.41271118255,399544.13716814155,29606.70909090909,30098.99166666667
Source:_BidsSource,0,4,1669197385197464300,326023.2313973835,331485.487320501,29640.94545454545,30137.555555555555
LatencySink,1,4,1669197385197464300,3146051.2820512815,0.0,30673.999999999996,0.0
LatencySink,0,4,1669197385197464300,3476733.6898395717,0.0,29552.236363636363,0.0
Source:_BidsSource,3,4,1669197385197464300,362795.6744868035,368138.2560483871,29991.10909090909,30432.7625
LatencySink,3,4,1669197385197464300,3126750.3557312246,0.0,29964.690909090907,0.0
Source:_BidsSource,2,4,1669197385197464300,381482.72727272724,377789.1840277778,30518.61818181818,30223.134722222225
