# operator_id,operator_instance_id,total_number_of_operator_instances,epoch_timestamp,true_processing_rate,true_output_rate,observed_processing_rate,observed_output_rate
Mapper,2,8,1647608394451716400,342932.8647106765,342932.8647106765,23376.59027777778,23376.59027777778
Latency_Sink,2,8,1647608394451716400,1584727.4952919022,0.0,23374.730555555558,0.0
Source:_Bids_Source,2,8,1647608394451716400,0.0,250237.25840023786,0.0,23376.330555555553
Mapper,7,8,1647608394451716400,382046.5743440233,382046.5743440233,21840.329166666666,21840.329166666666
Source:_Bids_Source,7,8,1647608394451716400,0.0,257962.30314960636,0.0,21840.808333333334
Latency_Sink,7,8,1647608394451716400,1770889.9774774774,0.0,21840.976388888885,0.0
Latency_Sink,1,8,1647608394451716400,2088429.2929292934,0.0,22972.722222222223,0.0
Source:_Bids_Source,1,8,1647608394451716400,0.0,247251.7937219731,0.0,22973.8125
Mapper,1,8,1647608394451716400,301959.2734574662,301959.2734574662,22974.068055555555,22974.068055555555
Source:_Bids_Source,5,8,1647608394451716400,0.0,251284.25366695435,0.0,24269.870833333338
Mapper,5,8,1647608394451716400,354295.80291970796,354295.9651257096,24269.262499999997,24269.273611111108
Latency_Sink,5,8,1647608394451716400,1713024.3137254901,0.0,24267.844444444443,0.0
Source:_Bids_Source,3,8,1647608394451716400,0.0,230746.79539852098,0.0,23401.570833333335
Latency_Sink,3,8,1647608394451716400,1376498.2843137253,0.0,23400.470833333333,0.0
Mapper,3,8,1647608394451716400,264172.6560050172,264172.7030417058,23401.294444444444,23401.29861111111
Mapper,4,8,1647608394451716400,261089.9695585996,261089.81735159812,23824.45972222222,23824.44583333333
Latency_Sink,4,8,1647608394451716400,1536954.3010752688,0.0,23822.791666666664,0.0
Source:_Bids_Source,4,8,1647608394451716400,0.0,236267.64462809922,0.0,23823.654166666667
Latency_Sink,0,8,1647608394451716400,2141056.8000000003,0.0,22302.675,0.0
Source:_Bids_Source,0,8,1647608394451716400,0.0,257349.55128205134,0.0,22303.62777777778
Mapper,0,8,1647608394451716400,339207.6468103084,339207.6468103084,22302.902777777777,22302.902777777777
Source:_Bids_Source,6,8,1647608394451716400,0.0,286131.8181818182,0.0,21507.575
Latency_Sink,6,8,1647608394451716400,1732308.6129753916,0.0,21509.498611111114,0.0
Mapper,6,8,1647608394451716400,390475.92032274336,390476.0211800302,21508.71527777778,21508.720833333333
